Hotel Names,Price,Rating,Rating Count,Nearby Resaurants,Nearby Attractions
Grand Hotel Yerevan,"45,037",4.5,467 reviews,222 restaurants within walking distance.,48 attraction areas within walking distance.
Hotel Meg,"20,041",5.0,192 reviews,94 restaurants within walking distance.,40 attraction areas within walking distance.
My Hotel Yerevan,"16,281",4.5,178 reviews,36 restaurants within walking distance.,10 attraction areas within walking distance.
"Radisson Blu Hotel, Yerevan","34,501",4.5,169 reviews,132 restaurants within walking distance.,45 attraction areas within walking distance.
DoubleTree by Hilton Hotel Yerevan City Centre,"41,000",4.5,498 reviews,24 restaurants within walking distance.,6 attraction areas within walking distance.
Armenia Marriott Hotel Yerevan,"46,744",4.0,863 reviews,119 restaurants within walking distance.,25 attraction areas within walking distance.
Holiday Inn Express Yerevan,"26,669",4.5,72 reviews,115 restaurants within walking distance.,18 attraction areas within walking distance.
Cross Resort Hotel,"21,373",4.5,67 reviews,None within walking distance,None within walking distance
Welcome Yerevan  Apartments,"14,625",5.0,13 reviews,193 restaurants within walking distance.,33 attraction areas within walking distance.
Aghababyan's Hotel,"27,996",4.5,22 reviews,None within walking distance,None within walking distance
Paris Hotel,"35,833",4.5,518 reviews,140 restaurants within walking distance.,29 attraction areas within walking distance.
Republica Hotel Yerevan,"32,000",4.5,803 reviews,106 restaurants within walking distance.,21 attraction areas within walking distance.
Roma Hotel Complex,"18,329",5.0,148 reviews,None within walking distance,None within walking distance
Nova Hotel,"20,658",4.5,306 reviews,181 restaurants within walking distance.,38 attraction areas within walking distance.
Kantar,"20,016",4.5,199 reviews,48 restaurants within walking distance.,12 attraction areas within walking distance.
ibis Yerevan Center Hotel,"18,750",4.5,455 reviews,231 restaurants within walking distance.,47 attraction areas within walking distance.
Tufenkian Historic Yerevan Hotel,"44,203",4.5,489 reviews,69 restaurants within walking distance.,26 attraction areas within walking distance.
Deluxe Hotel Yerevan,"15,750",4.5,267 reviews,25 restaurants within walking distance.,8 attraction areas within walking distance.
Hyatt Place Yerevan,"30,627",4.5,366 reviews,73 restaurants within walking distance.,21 attraction areas within walking distance.
Mia Casa Hotel Yerevan,"22,499",5.0,91 reviews,26 restaurants within walking distance.,1 attraction areas within walking distance.
Best Western Plus Congress Hotel,"26,250",4.0,694 reviews,46 restaurants within walking distance.,11 attraction areas within walking distance.
Cascade Hotel,"19,598",4.5,122 reviews,94 restaurants within walking distance.,30 attraction areas within walking distance.
Olympia Hotel,"18,000",4.5,126 reviews,16 restaurants within walking distance.,5 attraction areas within walking distance.
14th Floor Hotel,"23,352",4.5,99 reviews,158 restaurants within walking distance.,30 attraction areas within walking distance.
City Centre Hotel by Picnic,"14,250",4.5,102 reviews,151 restaurants within walking distance.,28 attraction areas within walking distance.
Yerevan Hostel,"8,333",4.5,140 reviews,135 restaurants within walking distance.,27 attraction areas within walking distance.
Bass Boutique Hotel,"18,333",4.0,138 reviews,211 restaurants within walking distance.,51 attraction areas within walking distance.
Aviatrans,"35,250",4.0,184 reviews,212 restaurants within walking distance.,45 attraction areas within walking distance.
Apricot Hotel Yerevan,"24,167",5.0,36 reviews,18 restaurants within walking distance.,6 attraction areas within walking distance.
Boulevard Hotel,"20,833",4.5,51 reviews,185 restaurants within walking distance.,31 attraction areas within walking distance.
Diamond Hotel Yerevan,"36,225",4.0,96 reviews,117 restaurants within walking distance.,18 attraction areas within walking distance.
L'image Art Hotel,"26,871",4.5,29 reviews,47 restaurants within walking distance.,15 attraction areas within walking distance.
Central Hotel Yerevan,"24,655",4.5,51 reviews,71 restaurants within walking distance.,19 attraction areas within walking distance.
City Hotel by Picnic,"14,247",4.5,72 reviews,56 restaurants within walking distance.,14 attraction areas within walking distance.
"The Alexander, a Luxury Collection Hotel, Yerevan","97,984",4.5,40 reviews,218 restaurants within walking distance.,47 attraction areas within walking distance.
Hotel National,"38,333",4.0,112 reviews,131 restaurants within walking distance.,25 attraction areas within walking distance.
Vagary Hostel,"9,333",5.0,25 reviews,14 restaurants within walking distance.,7 attraction areas within walking distance.
Imperial Palace Hotel,"50,016",4.0,168 reviews,82 restaurants within walking distance.,32 attraction areas within walking distance.
Golden Palace Hotel Yerevan,"56,017",4.5,34 reviews,215 restaurants within walking distance.,46 attraction areas within walking distance.
North Avenue Hotel,"54,167",4.5,74 reviews,221 restaurants within walking distance.,47 attraction areas within walking distance.
Sochi Palace Hotel,"16,667",4.0,86 reviews,None within walking distance,None within walking distance
Yerevan Boutique Hotel,"11,875",4.5,24 reviews,38 restaurants within walking distance.,1 attraction areas within walking distance.
Elysium Gallery Hotel,"15,037",4.0,52 reviews,272 restaurants within walking distance.,50 attraction areas within walking distance.
Hotel Tigran Mets,"17,500",4.5,35 reviews,45 restaurants within walking distance.,21 attraction areas within walking distance.
MGA Hostel & Tours,"7,916",4.5,41 reviews,69 restaurants within walking distance.,12 attraction areas within walking distance.
Konyak Hotel,"28,961",4.5,11 reviews,58 restaurants within walking distance.,17 attraction areas within walking distance.
Ramada Hotel & Suites by Wyndham Yerevan,"32,583",4.0,20 reviews,170 restaurants within walking distance.,35 attraction areas within walking distance.
Opera Suite Hotel,"27,241",4.5,208 reviews,139 restaurants within walking distance.,35 attraction areas within walking distance.
Azoyan Guest House,"32,008",5.0,80 reviews,66 restaurants within walking distance.,27 attraction areas within walking distance.
HyeLandz Eco Village Resort,"38,108",5.0,141 reviews,None within walking distance,None within walking distance
JR's House,"14,252",4.5,128 reviews,55 restaurants within walking distance.,20 attraction areas within walking distance.
Erebuni Hotel,"21,684",4.5,191 reviews,83 restaurants within walking distance.,22 attraction areas within walking distance.
Komitas Avenue Guest House,"10,000",5.0,47 reviews,27 restaurants within walking distance.,3 attraction areas within walking distance.
Ani Plaza Hotel,Not available,4.0,507 reviews,167 restaurants within walking distance.,39 attraction areas within walking distance.
Daniel Boutique Hotel,"27,917",5.0,37 reviews,64 restaurants within walking distance.,12 attraction areas within walking distance.
Europe Hotel,"28,998",4.0,225 reviews,67 restaurants within walking distance.,26 attraction areas within walking distance.
Messier 53 Hotel Yerevan,"26,363",4.5,105 reviews,37 restaurants within walking distance.,7 attraction areas within walking distance.
Hin Yerevantsi Hotel,Not available,5.0,73 reviews,246 restaurants within walking distance.,44 attraction areas within walking distance.
Areg Hotel,"34,012",4.5,122 reviews,None within walking distance,None within walking distance
Villa Delenda,"29,190",4.5,95 reviews,200 restaurants within walking distance.,34 attraction areas within walking distance.
RIS Dalma Collection Yerevan,"24,996",5.0,6 reviews,26 restaurants within walking distance.,10 attraction areas within walking distance.
Master's House Dayan,"26,250",5.0,7 reviews,39 restaurants within walking distance.,19 attraction areas within walking distance.
Mashtots Hotel,"18,333",4.0,22 reviews,282 restaurants within walking distance.,51 attraction areas within walking distance.
A Hotel Yerevan,"21,995",5.0,5 reviews,242 restaurants within walking distance.,46 attraction areas within walking distance.
Green Palace Hotel & Sauna,"20,417",4.0,25 reviews,737 restaurants within walking distance.,200 attraction areas within walking distance.
Nor Dzoraberd Hotel,"20,000",4.5,7 reviews,123 restaurants within walking distance.,32 attraction areas within walking distance.
Hotel Lilia Yerevan,"26,917",4.5,11 reviews,67 restaurants within walking distance.,11 attraction areas within walking distance.
City Centre Apartments,"12,750",4.5,5 reviews,124 restaurants within walking distance.,16 attraction areas within walking distance.
4Guest Hotel,"17,006",5.0,4 reviews,None within walking distance,None within walking distance
Ararat hotel,"33,451",3.5,101 reviews,25 restaurants within walking distance.,6 attraction areas within walking distance.
My Apartments Yerevan,"14,250",4.0,8 reviews,114 restaurants within walking distance.,28 attraction areas within walking distance.
Panorama Yerevan Resort,"24,542",4.5,50 reviews,35 restaurants within walking distance.,2 attraction areas within walking distance.
Umba Hostel & Tours,"7,402",4.5,76 reviews,196 restaurants within walking distance.,45 attraction areas within walking distance.
Art Hotel,"12,752",4.5,47 reviews,69 restaurants within walking distance.,16 attraction areas within walking distance.
Villa 29,"25,011",4.5,47 reviews,90 restaurants within walking distance.,17 attraction areas within walking distance.
Hotel Regineh,"30,662",4.0,90 reviews,88 restaurants within walking distance.,20 attraction areas within walking distance.
Grig Hotel,"21,333",4.5,33 reviews,78 restaurants within walking distance.,29 attraction areas within walking distance.
Areve Residence Boutique Hotel,"16,996",4.5,34 reviews,None within walking distance,None within walking distance
Silk Road Hotel,"29,176",5.0,81 reviews,67 restaurants within walking distance.,23 attraction areas within walking distance.
Grand Hostel Yerevan,"8,572",4.5,71 reviews,131 restaurants within walking distance.,23 attraction areas within walking distance.
Hostel Glide,"9,167",5.0,61 reviews,21 restaurants within walking distance.,3 attraction areas within walking distance.
Best Eastern Hotel Metropol,Not available,4.0,119 reviews,12 restaurants within walking distance.,9 attraction areas within walking distance.
Grammy Hostel,Not available,4.5,51 reviews,166 restaurants within walking distance.,44 attraction areas within walking distance.
Hrazdan Hotel,"22,509",3.5,111 reviews,14 restaurants within walking distance.,4 attraction areas within walking distance.
SD Hotel,"16,667",4.5,53 reviews,None within walking distance,None within walking distance
Byron Hostel,"6,662",4.5,32 reviews,191 restaurants within walking distance.,55 attraction areas within walking distance.
Minotel Barsam Suites,Not available,4.0,102 reviews,41 restaurants within walking distance.,15 attraction areas within walking distance.
Planet Hotel,"15,833",5.0,22 reviews,None within walking distance,None within walking distance
