Restaurant Names,Rating,Rating Count,Coordinates,Addresses
Arqayadzor,4.5,12 reviews,"40.198288,44.551083",
Daboo Bar,5.0,32 reviews,"40.189556,44.515781",
Old Erivan,3.0,211 reviews,"40.184277,44.514969",
L'Atelier,4.5,6 reviews,"40.183098,44.510418",
Charentsi 28 Restaurant,4.5,179 reviews,"40.179295,44.527367",
Arishta,5.0,2 reviews,"40.206539,44.512508",
Al Mayass Yerevan,4.5,38 reviews,"40.189388,44.514519",
the bottle room,No rating,0 reviews,Not available,"Byron 4, Yerevan 0001 Armenia"
Moon Cafe & Hookah Lounge,No rating,0 reviews,"40.184711,44.509232",
BayRoute Pub,4.5,3 reviews,"40.183674,44.506168",
Yellow street,4.5,3 reviews,Not available,"10.Tumanyan str. 40-63, Yerevan 0060 Armenia"
Lebanon Tavern,3.5,10 reviews,"40.189507,44.514915",
Futuretour Teahouse,5.0,4 reviews,"40.179996,44.517696",
CoffeeStar,5.0,3 reviews,"40.186028,44.516003",
Level Eleven Rooftop Restaurant,4.5,12 reviews,"40.180313,44.514687",
Limone Cascade,5.0,793 reviews,"40.189682,44.515354",
Karas,4.0,5 reviews,"40.217808,44.581909",
Varonna Bar,5.0,3 reviews,Not available,"Mashtots, Yerevan Armenia"
Aroma Lounge,5.0,2 reviews,"40.186497,44.519131",
Mediterraneo Pizza,3.5,7 reviews,Not available,"Italy St 1 Best Western Congress Hotel, Yerevan 0013 Armenia"
Rehani Grillhouse,5.0,4 reviews,"40.190094,44.480972",
Amigo Latino Club,4.5,30 reviews,"40.189632,44.524754",
Venice Restaurant & Cafe,No rating,0 reviews,"40.197273,44.522060",
The Italian Armenia,4.0,108 reviews,"40.177105,44.516212",
Kebabji,4.5,10 reviews,"40.184006,44.513927",
Pasticceria,No rating,0 reviews,"40.178246,44.519783",
ELIZA Cafe & Restaurant,No rating,0 reviews,"40.174187,44.521641",
Gemini Cafeteria,4.5,14 reviews,"40.186111,44.512024",
People's Gastro Cafe,4.5,9 reviews,"40.189163,44.514889",
Bella Italia,4.0,26 reviews,Not available,"Abovyan str. 7, Yerevan 0001 Armenia"
Our Village / Mer Gyugh Restaurant,4.0,203 reviews,"40.183277,44.516270",
Dostoevsky Club Restaurant,4.0,1 review,"40.164307,44.417480",
Mane,4.5,16 reviews,"40.177101,44.515930",
Burgery Angus & More,No rating,0 reviews,Not available,"Amiryan St., 3/37, Yerevan 0010 Armenia"
Vinograd,5.0,508 reviews,"40.177803,44.519108",
Balzac Coffee Shop & Bakery drive thru,No rating,0 reviews,Not available,"Zvartnots Airport Highway, Yerevan 536748 Armenia"
Yum Yum Donuts,4.0,10 reviews,"40.186005,44.521057",
3 Bros - Corner Grill,4.5,7 reviews,"40.183193,44.511990",
The Kond House,4.5,8 reviews,"40.180439,44.502907",
Hin Zangezur Tavern,4.5,450 reviews,"40.178131,44.504040",
Verev Rooftop,5.0,32 reviews,"40.181255,44.515705",
Dari Pandok,5.0,38 reviews,"40.179699,44.516479",
Valem Plaza Restaurant,5.0,1 review,"40.190994,44.472141",
Sector Dacha,5.0,3 reviews,"40.182167,44.524780",
Minour,5.0,3 reviews,"40.178921,44.509232",
Crepe House,5.0,1 review,Not available,"Abovyan str. 8, Yerevan 0010 Armenia"
L'Orange,4.0,15 reviews,"40.182957,44.516346",
Heisenberg Pub,5.0,1 review,Not available,"Pushkin 39, Yerevan Armenia"
Fazenda Restaurant,No rating,0 reviews,"40.229565,44.597466",
Karas,No rating,0 reviews,"40.151894,44.496807",
Casa Del Vino,5.0,4 reviews,"40.174335,44.521271",
Sherep Restaurant,5.0,"2,442 reviews","40.178471,44.511311",
Los Pueblos,4.5,67 reviews,"40.190197,44.515816",
Talk2Me English Cafe,No rating,0 reviews,"40.186378,44.513611",
Rialto Italian Diner - Cafe,4.5,46 reviews,"40.186726,44.521137",
Black Angus Yerevan,5.0,"1,740 reviews","40.180176,44.514652",
Muscat Cafe,4.5,15 reviews,"40.180664,44.510078",
Proshyan Shaurma,4.5,7 reviews,Not available,"Prosh'yana str. 42, Yerevan 0019 Armenia"
MR Barbeque,5.0,3 reviews,Not available,"7.Sayat Nova str. 20, Yerevan 0060 Armenia"
Top Snack,No rating,0 reviews,Not available,"Anrapyetutsyan str. 49/8, Yerevan 0010 Armenia"
Trapeza Cafe Restaurant,5.0,9 reviews,"40.182873,44.512676",
Veg & Co. Yerevan - Vegetarian Cafe & More,No rating,0 reviews,"40.183578,44.508701",
Khurjin Tavern,5.0,44 reviews,"40.198708,44.368725",
New Tao,4.0,4 reviews,"40.187141,44.510895",
Magnolia Bar & Restaurant,4.0,30 reviews,"40.185513,44.514050",
Mr. Gyros,3.5,6 reviews,"40.183151,44.515980",
Degustation,4.5,8 reviews,"40.203613,44.499313",
Yum Yum Donuts,3.5,2 reviews,Not available,"Mashtots M. ave 35, Yerevan 0002 Armenia"
Cafe Merci,5.0,40 reviews,"40.180584,44.520226",
Saryan’ Notes,4.5,13 reviews,"40.187065,44.509697",
"Suliko, Georgian Restaurant",4.0,22 reviews,"40.183147,44.522545",
Eat Meat,No rating,0 reviews,Not available,"Komitas ave 51, Yerevan 0014 Armenia"
Aires,5.0,42 reviews,"40.182262,44.511749",
JAZZVE Coffee,3.5,97 reviews,"40.179295,44.513813",
Gusto,4.0,83 reviews,"40.182964,44.517887",
Wine Time,5.0,18 reviews,"40.176624,44.506115",
Backyard,5.0,4 reviews,"40.193768,44.504482",
Mihul Indian Restaurant,4.5,21 reviews,"40.185162,44.525459",
Shiba Saloon Bar,5.0,4 reviews,"40.181587,44.512897",
Hans&Franz,3.5,88 reviews,"40.186790,44.508465",
Adastra Restaurant & Bar,3.5,2 reviews,"40.197102,44.518539",
La Boca,No rating,0 reviews,"40.173466,44.506256",
Babylon Restaurant,5.0,107 reviews,"40.183178,44.507580",
Golden Fork,No rating,0 reviews,Not available,"Israelian St., 73, Yerevan Armenia"
Igdir Restaurant Complex,4.5,11 reviews,"40.187702,44.581421",
Oud Mezze House,5.0,2 reviews,"40.185631,44.511200",
Poplavok Jazz Cafe,3.5,23 reviews,"40.188316,44.518902",
Al Forno Pizzeria,No rating,0 reviews,Not available,"Tsarav Aghbyur 55/11, Yerevan Armenia"
Sorriso Cafe Gelateria,4.5,98 reviews,"40.181767,44.514210",
La Villa,No rating,0 reviews,"40.201038,44.567421",
Bakeryerevan,5.0,17 reviews,"40.178387,44.518116",
UnderGround Pub,4.5,10 reviews,Not available,"Nalbandyan str. 48, Yerevan 0010 Armenia"
Moyka Garage Bar,5.0,2 reviews,"40.180386,44.503048",
Like Cafe & Bar,5.0,6 reviews,"4.542380,-75.670738",
5th Element,No rating,0 reviews,Not available,"28 Moskovyan Street, Yerevan Armenia"
Urban Beer House,4.0,9 reviews,Not available,"Komitas Avenue, Yerevan Armenia"
Buro,4.5,16 reviews,"40.179714,44.515507",
Das,4.0,1 review,"40.189529,44.521023",
Temurnots,4.0,52 reviews,"40.189228,44.515865",
Abu Hagop Restaurant,4.0,18 reviews,"40.183201,44.512344",
Mandarin Lounge,5.0,1 review,"40.182228,44.520294",
